idmng,hh_trimestre,superviseur,dr,cons,num_men,statut,tirage,ech_adresse,nb_eligible,completude_menage
1232030200180006201,2025T1,SP0105,123203020018,00062,01,Non affecté,Remplaçant,MAKA YOP,,
0332020503390002701,2025T1,SP0103,033202050339,00027,01,Non affecté,Remplaçant,NULL,,
0622010200480005401,2025T1,SP0106,062201020048,00054,01,Non affecté,Remplaçant,KEUR AYIB GUEYE     UPT87b2b540-bf18-4031-882d-131960779ccf,,
0123013301310005501,2025T1,SP0102,012301330131,00055,01,Non affecté,Tiré,DAROUL IMANE        UPTd6ea028e-22e2-4bdf-8d99-20f848864c17,,
0411020000250003301,2025T1,SP0111,041102000025,00033,01,Non affecté,Remplaçant,GAE II,,
1011010000980000202,2025T1,SP0108,101101000098,00002,02,Non affecté,Tiré,HILELE,,
0152030100450008201,2025T1,SP0102,015203010045,00082,01,Non affecté,Remplaçant,A L ENTREE          UPT8722157a-9bcb-4716-9ca6-b23c2dd18f8a,,
0113013100290001708,2025T1,SP0101,011301310029,00017,08,Non affecté,Remplaçant,CHAMBRE N I AU DEUXIEME A DROITE,,
0132020301890040901,2025T1,SP0102,013202030189,00409,01,Non affecté,Remplaçant,NIAGHA              UPTb4c5fa20-65c5-41aa-b6a2-266f1c102836,,
0522020200280001001,2025T1,SP0113,052202020028,00010,01,Non affecté,Remplaçant,DANS LA CONCESSION,,
0542020400430001001,2025T1,SP0113,054202040043,00010,01,Non affecté,Remplaçant,EN FACE,,
0821020000200010601,2025T1,SP0109,082102000020,00106,01,Non affecté,Remplaçant,NDIOBENE,,
0711020001210007501,2025T1,SP0115,071102000121,00075,01,Non affecté,Remplaçant,11 NOVEMBER,,
0622010200240002702,2025T1,SP0106,062201020024,00027,02,Non affecté,Remplaçant,THIAMENE SANGHAP,,
0731020000020011801,2025T1,SP0114,073102000002,00118,01,Non affecté,Remplaçant,KEUR MASS,,
0722010200190001202,2025T1,SP0114,072201020019,00012,02,Non affecté,Remplaçant,H1 THIANGAYE,,
0911010000130009902,2025T1,SP0104,091101000013,00099,02,Non affecté,Remplaçant,DAREL,,
1011010000570001701,2025T1,SP0108,101101000057,00017,01,Non affecté,Remplaçant,NULL,,
0832030200130004901,2025T1,SP0109,083203020013,00049,01,Non affecté,Remplaçant,PARE SOW,,
